country,geo,siec,type,unit,source,scenario,year,cap
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,1996,0.5
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,1997,2
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,1998,2.7
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,1999,3.3
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2000,3
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2001,4
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2002,5.4
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2003,5.2
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2004,6.3
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2005,8.4
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2006,15.3
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2007,16
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2008,18.5
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2009,22.6
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2010,36.6
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2011,70.1
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2012,88.1
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2013,89.5
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2014,100.9
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2015,110
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2016,108.6
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2017,132.6
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2018,121.8
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2019,145.9
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2020,145.5
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2021,145
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2022,149.7
Switzerland,CH,RA300,Wind,GWh,BFE,GES2023,2023,168.5
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,1990,0
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,1991,0.1
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,1992,0.1
Switzerland,CH,RA310,Wind on shore,GWh,BFE,GES2023,1993,0
